Year ,State,Avg_Temp
1/1/16,Alabama,43
2/1/16,Alabama,49.8
3/1/16,Alabama,59.7
4/1/16,Alabama,63.6
5/1/16,Alabama,70.2
6/1/16,Alabama,79.2
7/1/16,Alabama,82
8/1/16,Alabama,81.6
9/1/16,Alabama,78.6
10/1/16,Alabama,68.5
11/1/16,Alabama,57.8
12/1/16,Alabama,50.1
1/1/17,Alabama,52.4
2/1/17,Alabama,55.6
3/1/17,Alabama,58.4
4/1/17,Alabama,67.2
5/1/17,Alabama,69.9
6/1/17,Alabama,75.8
7/1/17,Alabama,80.6
8/1/17,Alabama,78.8
9/1/17,Alabama,73.4
10/1/17,Alabama,65.8
11/1/17,Alabama,55.6
12/1/17,Alabama,46.9
1/1/18,Alabama,40.4
2/1/18,Alabama,58
3/1/18,Alabama,55.4
4/1/18,Alabama,59.5
5/1/18,Alabama,74.4
6/1/18,Alabama,79.3
7/1/18,Alabama,80.7
8/1/18,Alabama,79.5
9/1/18,Alabama,79.4
10/1/18,Alabama,67.4
11/1/18,Alabama,50.4
12/1/18,Alabama,49
1/1/19,Alabama,46.5
2/1/19,Alabama,56.1
3/1/19,Alabama,55
4/1/19,Alabama,63.5
5/1/19,Alabama,74.2
6/1/19,Alabama,78.1
7/1/19,Alabama,80.6
8/1/19,Alabama,80.6
9/1/19,Alabama,80.2
10/1/19,Alabama,67.8
11/1/19,Alabama,50.6
12/1/19,Alabama,51.3
1/1/16,Florida,56.9
2/1/16,Florida,59.4
3/1/16,Florida,68.8
4/1/16,Florida,71.2
5/1/16,Florida,76.2
6/1/16,Florida,81.9
7/1/16,Florida,84
8/1/16,Florida,83
9/1/16,Florida,81.1
10/1/16,Florida,74.6
11/1/16,Florida,66.6
12/1/16,Florida,65.9
1/1/17,Florida,62.8
2/1/17,Florida,65.5
3/1/17,Florida,66.2
4/1/17,Florida,72.3
5/1/17,Florida,77.1
6/1/17,Florida,80.2
7/1/17,Florida,82.8
8/1/17,Florida,82.8
9/1/17,Florida,80.4
10/1/17,Florida,74.9
11/1/17,Florida,67.4
12/1/17,Florida,61.7
1/1/18,Florida,55
2/1/18,Florida,69.2
3/1/18,Florida,63
4/1/18,Florida,70.2
5/1/18,Florida,76.4
