PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
HHS Regions,Region 4,2016,40,1.22375,1.36456,637,369,,801,115,84,2006,306,147007
HHS Regions,Region 4,2016,41,1.23174,1.45288,714,399,,769,153,96,2131,317,146674
HHS Regions,Region 4,2016,42,1.2768,1.51243,782,414,,898,185,93,2372,323,156834
HHS Regions,Region 4,2016,43,1.38032,1.66763,789,532,,994,198,109,2622,325,157229
HHS Regions,Region 4,2016,44,1.64361,1.86843,928,518,,1176,195,122,2939,328,157298
HHS Regions,Region 4,2016,45,1.67847,1.96436,991,569,,1170,189,140,3059,330,155725
HHS Regions,Region 4,2016,46,1.9058,2.11566,972,598,,1241,225,141,3177,321,150166
HHS Regions,Region 4,2016,47,2.19048,2.50169,1115,613,,1000,268,156,3152,328,125995
HHS Regions,Region 4,2016,48,1.95173,2.23278,931,820,,1223,304,247,3525,327,157875
HHS Regions,Region 4,2016,49,1.82126,2.1001,861,611,,1138,270,196,3076,327,146469
HHS Regions,Region 4,2016,50,2.27691,2.57596,954,720,,1306,292,183,3455,321,134125
HHS Regions,Region 4,2016,51,2.92861,3.71975,1272,875,,1420,371,244,4182,317,112427
HHS Regions,Region 4,2016,52,3.37282,4.03416,1380,992,,1211,471,367,4421,318,109589
HHS Regions,Region 4,2017,1,2.91179,3.30407,1021,1053,,1239,501,368,4182,334,126571
HHS Regions,Region 4,2017,2,2.89302,3.23802,908,964,,1816,466,354,4508,338,139221
HHS Regions,Region 4,2017,3,3.68179,4.00559,1092,1072,,2720,475,314,5673,341,141627
HHS Regions,Region 4,2017,4,3.69188,3.97422,1089,1053,,2965,420,281,5808,338,146142
HHS Regions,Region 4,2017,5,4.53169,4.83396,1180,1238,,3778,491,335,7022,336,145264
HHS Regions,Region 4,2017,6,5.11778,5.55331,1432,1656,,4227,741,481,8537,334,153728
HHS Regions,Region 4,2017,7,5.50453,6.19715,1512,1869,,4353,778,575,9087,324,146632
HHS Regions,Region 4,2017,8,5.48046,6.11492,1516,1882,,4246,788,574,9006,331,147279
HHS Regions,Region 4,2017,9,4.52709,4.96305,1273,1545,,3161,702,499,7180,329,144669
HHS Regions,Region 4,2017,10,4.52872,4.84231,1227,1359,,2969,631,413,6599,322,136278
HHS Regions,Region 4,2017,11,3.878,4.54861,1200,1297,,2674,565,426,6162,323,135470
HHS Regions,Region 4,2017,12,4.68718,5.12532,1338,1618,,3491,675,487,7609,319,148459
HHS Regions,Region 4,2017,13,3.6751,4.02232,1114,1187,,2578,520,382,5781,315,143723
HHS Regions,Region 4,2017,14,2.74066,2.9401,812,788,,1586,336,263,3785,305,128737
HHS Regions,Region 4,2017,15,2.18348,2.4097,727,619,,1248,254,219,3067,305,127277
HHS Regions,Region 4,2017,16,1.79914,2.0172,605,511,,1060,220,156,2552,298,126512
HHS Regions,Region 4,2017,17,1.49321,1.67517,540,426,,876,202,166,2210,298,131927
HHS Regions,Region 4,2017,18,1.28752,1.57782,501,383,,805,175,107,1971,289,124919
HHS Regions,Region 4,2017,19,1.39615,1.63757,492,417,,743,176,104,1932,283,117980
HHS Regions,Region 4,2017,20,1.27115,1.56045,465,373,,683,161,90,1772,282,113557
