State,Year,Month,Week,AverageTemperature
Alabama,2016,1,53,44.565887451171900
Alabama,2016,1,1,45.227760314941400
Alabama,2016,1,2,43.4753303527832
Alabama,2016,1,3,39.24388885498050
Alabama,2016,1,4,48.0059814453125
Alabama,2016,2,5,51.41553497314450
Alabama,2016,2,6,41.59090042114260
Alabama,2016,2,7,52.270652770996100
Alabama,2016,2,8,51.5689582824707
Alabama,2016,3,9,52.41495895385740
Alabama,2016,3,10,63.452430725097700
Alabama,2016,3,11,63.29411697387700
Alabama,2016,3,12,56.70292282104490
Alabama,2016,4,13,61.249176025390600
Alabama,2016,4,14,58.48369598388670
Alabama,2016,4,15,61.3303108215332
Alabama,2016,4,16,65.09334564208980
Alabama,2016,5,17,71.20982360839840
Alabama,2016,5,18,65.26319885253910
Alabama,2016,5,19,71.09577941894530
Alabama,2016,5,20,70.02433776855470
Alabama,2016,5,21,75.03471374511720
Alabama,2016,6,22,79.124755859375
Alabama,2016,6,23,78.57774353027340
Alabama,2016,6,24,80.3598403930664
Alabama,2016,6,25,82.06629180908200
Alabama,2016,7,26,82.07073974609380
Alabama,2016,7,27,83.64480590820310
Alabama,2016,7,28,80.89537048339840
Alabama,2016,7,29,83.58086395263670
Alabama,2016,7,30,82.04849243164060
Alabama,2016,8,31,82.81539154052730
Alabama,2016,8,32,79.68110656738280
Alabama,2016,8,33,80.64141845703130
Alabama,2016,8,34,81.2470932006836
Alabama,2016,9,35,81.62299346923830
Alabama,2016,9,36,80.66184997558590
Alabama,2016,9,37,79.59425354003910
Alabama,2016,9,38,80.37505340576170
Alabama,2016,10,39,73.59451293945310
Alabama,2016,10,40,74.85343933105470
Alabama,2016,10,41,70.54827880859380
Alabama,2016,10,42,70.32904815673830
Alabama,2016,10,43,69.57219696044920
Alabama,2016,11,44,70.5013656616211
Alabama,2016,11,45,61.266700744628900
Alabama,2016,11,46,59.187644958496100
Alabama,2016,11,47,54.80503463745120
Alabama,2016,12,48,56.53340530395510
Alabama,2016,12,49,47.51934051513670
Alabama,2016,12,50,53.471405029296900
Alabama,2016,12,51,50.112937927246100
Alabama,2016,1,52,57.127105712890600
Alabama,2017,1,52,55.20477294921880
Alabama,2017,1,1,46.69042205810550
Alabama,2017,1,2,54.66649627685550
Alabama,2017,1,3,63.15618133544920
Alabama,2017,1,4,49.95259475708010
Alabama,2017,2,5,50.644676208496100
Alabama,2017,2,6,57.16852569580080
Alabama,2017,2,7,54.37404251098630
Alabama,2017,2,8,60.153236389160200
Alabama,2017,3,9,55.84708786010740
Alabama,2017,3,10,58.14411163330080
Alabama,2017,3,11,48.14973831176760
Alabama,2017,3,12,64.30799102783200
Alabama,2017,4,13,66.82676696777340
Alabama,2017,4,14,62.14247512817380
Alabama,2017,4,15,68.0569076538086
Alabama,2017,4,16,71.08880615234380
Alabama,2017,4,17,70.34783172607420
Alabama,2017,5,18,63.84865188598630
Alabama,2017,5,19,70.41709899902340
Alabama,2017,5,20,76.22721862792970
Alabama,2017,5,21,71.10424041748050
Alabama,2017,6,22,74.52774810791020
Alabama,2017,6,23,73.49772644042970
Alabama,2017,6,24,77.16819763183590
Alabama,2017,6,25,76.28572082519530
Alabama,2017,7,26,76.1046142578125
Alabama,2017,7,27,79.9089584350586
Alabama,2017,7,28,79.71741485595700
Alabama,2017,7,29,81.62705993652340
Alabama,2017,7,30,80.57775115966800
Alabama,2017,8,31,77.93191528320310
Alabama,2017,8,32,77.82501983642580
Alabama,2017,8,33,80.65147399902340
Alabama,2017,8,34,80.52166748046880
Alabama,2017,9,35,75.36968231201170
Alabama,2017,9,36,71.75814819335940
Alabama,2017,9,37,69.3631820678711
Alabama,2017,9,38,77.38419342041020
Alabama,2017,10,39,76.85745239257810
Alabama,2017,10,40,73.64048767089840
Alabama,2017,10,41,75.31486511230470
Alabama,2017,10,42,65.2312240600586
Alabama,2017,10,43,57.47086715698240
Alabama,2017,11,44,61.79706573486330
Alabama,2017,11,45,60.65739822387700
Alabama,2017,11,46,56.06285858154300
Alabama,2017,11,47,50.50168991088870
Alabama,2017,12,48,56.56257247924810
Alabama,2017,12,49,46.89487838745120
Alabama,2017,12,50,43.9564208984375
Alabama,2017,12,51,58.967811584472700
Alabama,2017,12,52,40.386634826660200
Alabama,2018,1,1,30.13507080078130
Alabama,2018,1,2,47.26165771484380
Alabama,2018,1,3,35.491676330566400
Alabama,2018,1,4,49.89617919921880
Alabama,2018,2,5,46.05541229248050
Alabama,2018,2,6,53.067161560058600
Alabama,2018,2,7,60.081878662109400
Alabama,2018,2,8,67.64134979248050
Alabama,2018,3,9,58.08148956298830
