State,Year,Month,Week,AverageTemperature,REGION TYPE,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Alabama,2016,1,1,45.227760314941406,States,X,2.77095,X,X,X,X,X,X,293.0,22,10574
Alabama,2016,1,2,43.4753303527832,States,X,2.79062,X,X,X,X,X,X,350.0,27,12542
Alabama,2016,1,3,39.24388885498047,States,X,3.24173,X,X,X,X,X,X,394.0,28,12154
Alabama,2016,1,4,48.0059814453125,States,X,3.15247,X,X,X,X,X,X,416.0,27,13196
Alabama,2016,2,5,51.41553497314453,States,X,3.24061,X,X,X,X,X,X,332.0,24,10245
Alabama,2016,2,6,41.59090042114258,States,X,3.12853,X,X,X,X,X,X,332.0,27,10612
Alabama,2016,2,7,52.270652770996094,States,X,3.89068,X,X,X,X,X,X,484.0,27,12440
Alabama,2016,2,8,51.5689582824707,States,X,4.39855,X,X,X,X,X,X,509.0,23,11572
Alabama,2016,3,9,52.41495895385742,States,X,5.47097,X,X,X,X,X,X,521.0,24,9523
Alabama,2016,3,10,63.452430725097656,States,X,6.55058,X,X,X,X,X,X,632.0,24,9648
Alabama,2016,3,11,63.29411697387695,States,X,4.98188,X,X,X,X,X,X,440.0,23,8832
Alabama,2016,3,12,56.70292282104492,States,X,5.03734,X,X,X,X,X,X,398.0,22,7901
Alabama,2016,4,13,61.24917602539063,States,X,5.4502,X,X,X,X,X,X,388.0,22,7119
Alabama,2016,4,14,58.48369598388672,States,X,4.41285,X,X,X,X,X,X,360.0,23,8158
Alabama,2016,4,15,61.3303108215332,States,X,3.62936,X,X,X,X,X,X,311.0,22,8569
Alabama,2016,4,16,65.09334564208984,States,X,3.92021,X,X,X,X,X,X,340.0,22,8673
Alabama,2016,5,17,71.20982360839844,States,X,3.10614,X,X,X,X,X,X,247.0,22,7952
Alabama,2016,5,18,65.26319885253906,States,X,2.54817,X,X,X,X,X,X,201.0,24,7888
Alabama,2016,5,19,71.09577941894531,States,X,2.51917,X,X,X,X,X,X,161.0,22,6391
Alabama,2016,5,20,70.02433776855469,States,X,2.69975,X,X,X,X,X,X,173.0,22,6408
Alabama,2016,5,21,75.03471374511719,States,X,2.23771,X,X,X,X,X,X,122.0,22,5452
Alabama,2016,6,22,79.124755859375,States,X,1.92926,X,X,X,X,X,X,84.0,19,4354
Alabama,2016,6,23,78.57774353027344,States,X,1.64923,X,X,X,X,X,X,93.0,21,5639
Alabama,2016,6,24,80.3598403930664,States,X,1.18132,X,X,X,X,X,X,63.0,21,5333
Alabama,2016,6,25,82.06629180908203,States,X,1.23199,X,X,X,X,X,X,59.0,19,4789
